text,label,source,subject,length
"The nuclear test conducted in our nation this time is the Earths 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests. a released statement",1,liar,military,36
"Under President George W. Bush, we added 4.9 trillion to the debt. Under President Obama weve added 6.5 trillion to the debt. a town hall meeting in Hudson, N.H.",1,liar,debt,29
Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law. a speech at the CPAC conference,0,liar,"legal-issues,supreme-court",25
We have a director of homeland security who cannot use and will not use the term terrorist attack but instead substitutes man-made disaster. a speech at the Texas Republican Party Convention,0,liar,"homeland-security,terrorism",31
President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one. an interview with ABC news,0,liar,"deficit,federal-budget",20
Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners. Townhall.com,1,liar,patriotism,12
Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country a Republican presidential debate in Iowa,0,liar,"health-care,states",27
"Maggie Hassan raised tuition, making it the highest in America. an ad",0,liar,education,12
Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom. a speech.,0,liar,"campaign-finance,ethics,history",18
"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history a conversation with reporters in Victor, NY.",1,liar,jobs,38
"We have towns in West Texas that are out of water, that are having to truck in water. a symposium on water hosted by the Texas Tribune",0,liar,water,27
"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements. an interview on Fox News",0,liar,immigration,29
"Sen. Obamas campaign announced that hes choosing his cabinet. a rally in Bensalem, Pa.",0,liar,elections,14
"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out. an advisers interview on the Colbert Report.",1,liar,"elections,population",27
Only 2 percent of public high schools in the country offer PE classes. an interview with NPR,0,liar,"education,health-care",17
"Said hes the only Republican candidate whos actually turned around a government economy. a debate in Boca Raton, Fla.",1,liar,job-accomplishments,19
"On military recruiters at Harvard, Elena Kagan took a position and the Supreme Court ruled unanimously that she was wrong. an interview on Fox News",1,liar,"education,gays-and-lesbians,kagan-nomination,military,supreme-court",25
"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools. a Web video",1,liar,"education,message-machine,taxes",20
"Under Mayor Cicilline, Providence was a sanctuary city. a statement on WPRO-AM",0,liar,"history,homeland-security,immigration,legal-issues,pundits",12
"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised. remarks at the Republican National Convention in Tampa",1,liar,"candidates-biography,job-accomplishments",29
"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts. an interview on Meet the Press",0,liar,"civil-rights,elections,terrorism",30
U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant. a YouTube ad,0,liar,"criminal-justice,terrorism",20
Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America. a TV ad.,0,liar,"economy,financial-regulation,message-machine",19
"If you take the population growth here in Virginia, we are net zero on job creation since Bob McDonnell became governor. a speech.",1,liar,jobs,23
"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate. a campaign ad",0,liar,"housing,message-machine-2012",22
The new Arizona immigration law says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person. an interview on MSNBCs Hardball,1,liar,"immigration,legal-issues",31
The only time in our history when the debt has been higher than this was the end of World War II. a speech during a Fix the Debt press event,1,liar,debt,30
The cost of health care is now the single-biggest factor driving down the federal budget deficit. a speech at Northwestern University,1,liar,"deficit,federal-budget,health-care",21
"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent. a roundtable discussion on ABCs This Week",1,liar,"economy,abc-news-week",27
On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings. a law review article,0,liar,"kagan-nomination,supreme-court",17
Says one out of three U.S. homeless men is a veteran. a newspaper article.,0,liar,"poverty,veterans",14
Says Charlie Crist supports cuts to the Medicare Advantage program. a Facebook post,0,liar,"health-care,medicare",13
Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control. a news release,1,liar,"health-care,legal-issues,women",17
"In the past 20 years, Egypt has made great strides in political and democratic reform. an interview on ABCs This Week with Christiane Amanpour.",0,liar,"foreign-policy,abc-news-week",24
The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance. comments on Fox News Sunday,0,liar,"terrorism,transportation",24
Says U.S. Rep. Steve Southerland voted to keep the shutdown going. a campaign commercial,1,liar,federal-budget,14
There is a federal criminal law that says its a crime to transport dentures across state lines. a radio interview.,1,liar,public-health,20
We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders. a post on Instagram,1,liar,"crime,criminal-justice",27
Sen. McCains tax plan provides virtually nothing to the middle class. vice presidential debate in St. Louis,0,liar,taxes,17
Austin is burdened by the fastest-growing tax increases of any major city in the nation. as quoted in a news story,0,liar,"city-budget,city-government,taxes",21
"Phoenix, Arizona, is the No. 2 kidnapping capital of the world. comments on Meet the Press",0,liar,immigration,16
I belong to the AFL-CIO. Texas Public Policy Foundation policy orientation,1,liar,"candidates-biography,labor",11
The insurance commissioner cant do squat about health care. a radio interview broadcast over the Internet,1,liar,health-care,16
"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon. an interview on Face the Nation.",0,liar,"foreign-policy,history,military",29
Says David Jolly supports privatizing Social Security. a robocall to 13th Congressional District voters,0,liar,social-security,14
Did you know US population growth is at its lowest since the Great Depression? a tweet.,1,liar,"immigration,population",16
"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones. a Board of Governors meeting",1,liar,education,34
"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history. the PBS NewsHour",1,liar,guns,21
A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender. a web post,1,liar,housing,38
The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house. a congressional briefing,0,liar,guns,28
"Raising the minimum wage to 10.10 an hour, would help lift over a million Americans out of poverty. a debate",1,liar,"income,message-machine-2014,poverty",20
"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism. an interview on CNNs State of the Union",1,liar,"foreign-policy,history,terrorism",40
"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO. a presidential debate at Hofstra University",0,liar,"foreign-policy,military,terrorism",40
Sen. Obama has always had a 100 percent prochoice rating. an e-mail message sent to voters before Super Tuesday.,1,liar,abortion,19
The federal debt is growing by more than 4 billion a day. in Fed Up! Our Fight to Save America from Washington,1,liar,"deficit,economy,federal-budget",22
"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old. a speech.",0,liar,"education,retirement",20
Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions. a speech,1,liar,"government-regulation,jobs,poverty,welfare",21
Says Obama promised unemployment would never go above 8 percent. a vice presidential debate,0,liar,jobs,14
The economy is creating jobs at the fastest pace since 1999. the State of the Union address,1,liar,"economy,jobs",17
President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York. a press release from the Mitt Romney campaign,1,liar,"foreign-policy,israel,message-machine-2012",22
"In a majority of states, you can now marry freely, but can still be fired for who you love. a statement",1,liar,"civil-rights,gays-and-lesbians,states",21
"About half of the presidents have been governors half of them, senators. remarks in New Hampshire",0,liar,"congress,corrections-and-updates,elections,history,states",16
"After Britains vote to leave the European Union, within 24 hours, Americans lost 100 billion from our 401ks. remarks in Cincinnati, Ohio",1,liar,"economy,retirement",22
"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years. a speech",1,liar,medicaid,17
Says 88 Texas constables have died in the line of duty. a press statement.,1,liar,"crime,criminal-justice,history,public-safety,public-service",14
"Gov. Rick Scott cut the cost of prepaid college tuition by nearly 20,000. a TV ad",1,liar,education,16
"The city of Columbus would save 41 million a year if employees had to contribute to their own, guaranteed-check pensions. a newspaper column",1,liar,"jobs,labor,unions",23
"As Floridas CFO, I shut down Krakows scam and refunded more than 1.2 million to Josephine and other victims of this con man. a fundraising e-mail to supporters",1,liar,job-accomplishments,28
You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now. a conference in Silicon Valley,1,liar,"education,technology,women",25
The Air Force wants taxpayers to fund a fantasy football league. blog posts,0,liar,"families,federal-budget,military",13
He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy. an automated call to voters,1,liar,gays-and-lesbians,24
"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered. an ABC News U.S. Senate debate.",1,liar,"state-budget,taxes",23
"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years. 2013-14 veto message",0,liar,"economy,jobs",20
Says the U.S. Supreme Court found that Social Security is not guaranteed. a Congressional campaign debate,1,liar,social-security,16
SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado. a candidate forum,0,liar,"congress,terrorism",17
Oregonians have an amazing no-cost way to fight abortion with free political donations a newspaper ad,1,liar,"abortion,campaign-finance",16
"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support. a radio interview",0,liar,"immigration,pundits",30
Newt Gingrichs immigration plan offers a new doorway to amnesty. a press conference,1,liar,immigration,13
Mr. Caprio is a career politician who has never worked in the private sector. a campaign news release,0,liar,candidates-biography,18
"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent. a speech on the House floor.",0,liar,"disability,labor,states,workers",32
"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue! a Facebook post",1,liar,"debt,federal-budget,taxes",24
"President Obama took more money from Wall Street in the 2008 campaign than anybody ever had. a Democratic debate in Flint, Mich.",1,liar,"campaign-finance,economy,elections,financial-regulation,history,stimulus,voting-record",22
"Hillary Clinton has taken over 800,000 from lobbyists. an online ad.",1,liar,ethics,11
Barack Obama has never even worked in business. a speech at the Republican National Convention in Tampa,0,liar,candidates-biography,17
Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border. a radio interview.,0,liar,"crime,immigration",27
"On the VA Over 300,000 veterans have died waiting for care. a speech.",0,liar,"health-care,veterans",13
Were now spending 42 percent of our economy on government. the first presidential debate in Denver,1,liar,"debates,federal-budget,government-efficiency",16
"In 2005, Dan Branch tried to expand third-trimester abortions in Texas. an email blast",0,liar,"abortion,corrections-and-updates",14
"Whether you like to admit it or not, half our general revenue goes to education. comments to reporters.",1,liar,"education,state-budget",18
Im the only one whos fought against developers draining the Everglades! a television ad,0,liar,"environment,message-machine",14
"Climate change is directly related to the growth of terrorism. a Democratic presidential debate in Des Moines, Iowa.",0,liar,"climate-change,terrorism",18
The jobs bill includes President Obamas tax on soup kitchens a blog post,0,liar,"economy,jobs,taxes,workers",13
Says the Obama administration spent taxpayer dollars on electric cars in Finland and windmills in China. the vice-presidential debate,0,liar,stimulus,19
We have more illegal immigrants here than we did five years ago. an interview on NBCs Meet the Press,0,liar,immigration,19
Says Rick Perry wrote a letter supporting Hillarycare. a presidential debate,0,liar,health-care,11
The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name. blog posts,0,liar,sports,16
Mexican immigrants are more law-abiding than U.S. citizens and that is a statistic. an interview on CNN,1,liar,immigration,17
There are already more American jobs in the solar industry than in coal mining. a newspaper commentary,1,liar,"climate-change,energy,environment,jobs",17
"Romney failed to take action against sanctuary cities in Massachusetts. St. Petersburg, Fla.",1,liar,immigration,13
Says Thomas Eric Duncan came into the United States with an elevated temperature. comments on CNNs State of the Union,0,liar,"ebola,health-care,public-health,transportation",20
We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history. an interview on NBCs Meet the Press,1,liar,afghanistan,29
Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships. a TV ad.,1,liar,"marriage,message-machine,women",20
Says judges get better benefits at a lower cost than everybody else in the state. a news conference,1,liar,pensions,18
There are a lot of casinos across the country that have gone bankrupt. a speech,1,liar,"bankruptcy,economy,gambling,state-budget,state-finances,states",15
Small businesses create 70 percent of the jobs in America. a news release.,1,liar,"economy,jobs,small-business",13
If Texas were a country our economy would rank 10...in the WORLD. a tweet,1,liar,"corrections-and-updates,economy,states",14
There are more oil rigs in operation in the United States than the rest of the world combined. a debate,0,liar,"corporations,debt,economy,energy,environment,federal-budget,gas-prices,government-regulation,infrastructure",20
It is a commitment voters take very seriously The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday. a news release,1,liar,"elections,taxes",33
The Obama administration shut down the Amber Alert program because of the government shutdown. messages on Twitter,0,liar,"children,crime,federal-budget",17
The Republicans have 2 percent of the Muslim vote. comments on the Hannity show.,1,liar,religion,14
"We see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world! a letter",1,liar,criminal-justice,26
"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose. a column in Time magazine.",1,liar,"elections,immigration,pundits",24
Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people. a posting on the Clinton website,1,liar,"candidates-biography,congress,foreign-policy,history,terrorism",25
"Under the Cash for Clunkers program, all weve got to do is ... go to a local junkyard, all youve got to do is tow it to your house. And youre going to get 4,500. a Fox News interview",0,liar,"pundits,transportation",39
Not one Republican has the guts to recognize that climate change is real. a Democratic debate in New Hampshire,0,liar,"cap-and-trade,climate-change,debates,economy,energy,environment,government-regulation,jobs,campaign-advertising,polls,public-safety",19
Point Pleasant Beach does not own its beaches they are privately owned and operated by businesses such as Jenkinsons a column published on NJ.com,1,liar,"environment,income",24
"In the past year, more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldnt be there. an interview on The Ed Show.",0,liar,afghanistan,31
"In the last five years, 28,000 people have been killed along the U.S.-Mexico border. a news release",0,liar,"crime,homeland-security,immigration",17
The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation. a telephone town hall meeting,0,liar,"economy,jobs",31
Says Obama health reform law denies millions access to affordable insurance. a blog post,0,liar,"health-care,workers",14
Says HB2 hasnt moved the needle one iota on North Carolinas economy. a speech in Charlotte,0,liar,"corporations,economy,gays-and-lesbians,state-finances,states",16
Close to 30 of our federal prison population consists of illegal immigrants. a statement on campaign web site,0,liar,immigration,18
Says Rick Scott called education not a core function of the state. a press release,0,liar,"education,state-budget",15
"The Family Research Council, according to some government agencies, is a terrorist group. an interview on CNN",0,liar,terrorism,17
"Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children. a website posting",1,liar,"health-care,taxes",19
Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history. a column,1,liar,"elections,states",24
Obamacare is the biggest tax increase in American history. an interview,0,liar,"corrections-and-updates,federal-budget,health-care,taxes",11
"You ... said that Barack Obama was not ready to be commander in chief. St. Louis, Mo.",1,liar,candidates-biography,17
"The median male worker in this country has not seen a raise, inflation adjusted, for 30 years, basically. a CNN interview",1,liar,"economy,jobs,labor,workers",21
Milwaukee Mayor Tom Barrett has held the line on property taxes. a speech at a campaign fund-raiser for Tom Barretts gubernatorial campaign,0,liar,"job-accomplishments,taxes",22
Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than 200. an interview with Democracy Now,1,liar,campaign-finance,32
"Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support. an online video",1,liar,"bipartisanship,job-accomplishments",24
Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved. a campaign commercial,0,liar,"job-accomplishments,message-machine-2012,state-finances",20
"At the beginning of the last decade ... America had a budget surplus of over 200 billion. By the time I took office, we had a one-year deficit of over 1 trillion and projected deficits of 8 trillion over the next decade. his State of the Union speech",1,liar,"economy,federal-budget",48
U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East. a press release.,1,liar,"foreign-policy,religion,terrorism",18
"Milwaukee County taxpayers paid 370,000 to settle a lawsuit over a decision by Sheriff David A. Clarke Jr. to use untrained corrections officers rather than deputies to patrol the lakefront. an interview",0,liar,"labor,public-safety",32
There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation so close to an election. comments on Meet the Press,1,liar,"criminal-justice,government-regulation",26
Democratic presidents have been considerably more effective at creating private-sector jobs. a floor speech in the House,1,liar,"economy,history,workers",17
Joe Biden voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq. an interview on ABC News i This Week i,1,liar,iraq,26
Says Rush Limbaugh made it clear hed rather see the country fail than President Barack Obama succeed. remarks to Texas delegates to the Democratic National Convention.,0,liar,bipartisanship,26
"Says that under Rick Perrys plan, Texas has cut funding for public schools by 25. a leaflet.",1,liar,"children,education,state-budget,state-finances",17
The Paul Ryan budget proposal would privatize Medicare. an advertisement,1,liar,"federal-budget,health-care,medicare",10
High school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if theyve appeared in court. an article,1,liar,"criminal-justice,education",27
"...Over 30 years, federal spending on education has grown by 375 percent, but test scores remain flat. a Facebook post.",1,liar,"education,federal-budget",20
Says cuts to Medicare affect people who have already paid in. We paid for it. a campaign ad,0,liar,"federal-budget,health-care,medicare",18
David Alameel is giving thousands of dollars to support the Republican Party candidates including John Cornyn and Greg Abbott. an interview,0,liar,"bipartisanship,campaign-finance,candidates-biography",21
The American healthcare system burns 18 percent of our national GDP. Nobody else is close. a speech,1,liar,"federal-budget,health-care",17
Providences port is 200 miles closer to Europe than any other Eastern port. a news conference,0,liar,"economy,infrastructure,trade,transportation",16
Says you need a photo ID to purchase Sudafed in Texas. a Fox News interview.,1,liar,"elections,legal-issues",15
Twenty percent of housing in Portlands Pearl District is affordable. a guest column,1,liar,"housing,infrastructure,taxes,urban",13
"Says allowing the payroll tax holiday to expire would end up costing another estimated 900,000 jobs in 2012. letter to a constituent",1,liar,taxes,22
"Obamas budget plan would take national debt up to about 80 percent of gross national product. ... Historically, its been about 40 percent. a Fox News interview",1,liar,federal-budget,27
Says Hillary Clinton said the Veterans Affairs scandal is over-exaggerated. She said she was satisfied with what was going on. the NBC Commander-In-Chief Forum,0,liar,veterans,24
We now have driven health care costs down to the lowest theyve been in 50 years. comments during the South Carolina Democratic presidential debate,0,liar,health-care,24
"In the 1950s, A lot of people got rich and they had to pay a top tax rate of 90 percent. in his movie Capitalism A Love Story",1,liar,taxes,28
"The Charleston, S.C., shootershould have never been given a gun, but the universal background check was not fast enough. an interview with George Stephanopoulos",1,liar,"corrections-and-updates,guns,homeland-security",24
Sixty-five percent of the Iraqi people now say its okay to shoot an American soldier. a debate in Las Vegas,0,liar,iraq,20
Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional. an interview on Fox,0,liar,"health-care,supreme-court",28
Says George LeMieux was one of two Republicans who voted for President Barack Obamas jobs bill. a Web ad,1,liar,"candidates-biography,jobs",19
A precinct in the Allen West-Patrick Murphy recount has 7 registered voters in Guatemalan community and the tally showed 900 voted!!!!! a post on Facebook,0,liar,elections,25
"About 230,000 people that were on unemployment when I took office are not on unemployment now. radio interview",1,liar,"economy,workers",18
"One person, Kathleen Sebelius, was going to determine whether or not 10-year-old lung patient Sarah Murnaghan would live or die. his radio show",0,liar,"children,health-care,public-health,pundits",23
Local law enforcement . . . will have access to the Obamacare Data Hubs treasure trove of personal info. a Providence Journal commentary,0,liar,"criminal-justice,health-care,legal-issues,privacy",23
"During his tenure as mayor, he saw Houstons crime rates drop to the lowest levels in more than 25 years. the biography on his campaign Web site",1,liar,crime,27
"John McCain, one of the richest people in a Senate filled with millionaires, says the solution to the housing crisis is for people to get a second job and skip their vacations. an e-mail",0,liar,economy,34
"Terry McAuliffe wants to raise your taxes 1,700 to pay for his infinite promises. a debate.",0,liar,"education,state-budget,taxes",16
"Since the federal Violence Against Women Act was adopted in 1994, cases of domestic violence have fallen by 67 percent. a letter to congressional leadership",1,liar,"crime,criminal-justice,women",25
Nearly half of all pregnancies in the U.S. are unintended. commentary piece,1,liar,"abortion,census,children,families,health-care,public-health,women",12
The top 1 percent pay over half of the entire revenue for this country. an interview on MSNBCs The Dylan Ratigan Show,0,liar,taxes,22
The difference over the previous four years between where things were headed and where we brought them to over the last four years is a total of 816 in saved property tax money. remarks to reporters,0,liar,"state-budget,state-finances,taxes",36
The United States does not have a system through which growers and dairies can bring a workforce legally into the U.S. a blog post on RedState.com,0,liar,"agriculture,immigration,workers",26
Says he never said he would keep education funding the same. talking about his budget proposal.,0,liar,"education,state-budget",16
"Since 1978, college tuition nationwide has gone up something like four times the rate of inflation. a radio interview",1,liar,education,19
"Most of, if not all of, the DeKalb school construction projects always came in on or were under budget. an interview",1,liar,education,21
Palin supported right-wing extremist Pat Buchanan for president in 2000. an e-mail.,0,liar,israel,12
Says Sen. Sherrod Brown voted to block American energy production and increase energy taxes. a television commercial,0,liar,"energy,message-machine-2012,taxes",17
Says Jeanne Shaheen voted for a measure that would have amounted to a new national energy tax. a press release,0,liar,"energy,taxes,voting-record",20
"Seven presidents before Barack Obama -- Republicans and Democrats -- tried to expand health care to all Americans. a keynote speech to the Democratic National Convention in Charlotte, N.C.",1,liar,"health-care,history",29
"While fighting a move to toughen penalties for workplace gender discrimination, state Sen. Glenn Grothman said he didnt believe women belonged in the workplace but belonged at home, cooking and cleaning and having babies. a legislative floor speech",0,liar,"jobs,legal-issues,women",38
"If you put the 47 billion in revenue raised over 10 years by the Buffett rule into infrastructure you could create 611,000 infrastructure jobs. a speech on the floor of the U.S. Senate",0,liar,"economy,federal-budget,jobs,transportation",33
"I have repeatedly said that many of the predatory loans that were made in the mortgage system did target African-American and Latino communities. a town hall in St. Petersburg, Fla.",1,liar,economy,30
"Starting in December 2007, 1.4 million jobs were created in Texas. In that same period, the rest of the country lost 400,000 jobs. valedictory speech as governor to the Texas Legislature",1,liar,"job-accomplishments,jobs",31
The health reform legislation which Washington passed last year has made it more difficult to hire because its increased costs for employers. a press availability following a policy luncheon,0,liar,"economy,health-care",29
"The CBO, the Congressional Budget Office has said that Obamacare will kill 800,000 jobs. a debate in New Hampshire",0,liar,"economy,health-care",19
"Thompson voted against 250,000 caps on damages and almost anything that would make our legal system fairer. a Republican debate in Orlando, Fla.",0,liar,legal-issues,23
Immigrants are more fertile. a speech at the Faith and Freedom Coalition Conference,1,liar,immigration,13
The proposed education changes will not cut one teachers pay. a television advertisement.,1,liar,education,13
Firearms homicides are down about 40 percent since Texas passed concealed-gun permit law. an online campaign video,1,liar,"civil-rights,crime,guns",17
Upwards of 90 percent of women seeking an abortion decide not to have an abortion after seeing an ultrasound. an interview,0,liar,"abortion,children,families,health-care,women",21
If you got rid of the income tax today youd have about as much revenue as we had 10 years ago. a iMeet the Pressi interview,1,liar,taxes,26
Jason Kander supports Obamas plan to bring the remaining suspected terrorists to U.S. soil. a petition against President Obamas plan to close Guantanamo Bay,0,liar,terrorism,24
Have the suburbs been inundated with former residents of Atlanta housing projects? Absolutely not. a letter,1,liar,housing,16
"In July 1996, Mitt Romney helped locate the missing teenage daughter of a partner at Bain Capital. a chain e-mail and blog and Facebook posts",1,liar,candidates-biography,25
Blames Mike McIntyre and Nancy Pelosi for the second straight year of no cost-of-living increases for Social Security beneficiaries. a campaign commerical,0,liar,"message-machine,social-security",22
The government is going to have the right to get into your bank account with the health care bill and make transfers without you knowing it. his radio program,0,liar,"health-care,pundits",29
The American people support defunding Obamacare and oppose shutting down the government. a press release,0,liar,health-care,15
"Nobody has played clips over and over ...of President Obama saying, If they bring a knife to the fight, well bring a gun. a radio show",1,liar,"candidates-biography,pundits",26
This year in Congress Connie Mack IV has missed almost half of his votes. a robocall,0,liar,candidates-biography,16
"13 of our kids drop out of high school, cannot go to college or start a career. a fundraising letter",0,liar,"corrections-and-updates,education",20
Not even old Gen. Eisenhower saluted military personnel as president. her book Drift,0,liar,"history,military",13
"If Wisconsins governor cuts perquisites as much as he plans to do, it would still leave workers better off than their private sector counterparts. ABCs This Week",1,liar,"labor,pundits,state-budget,abc-news-week",27
"You cant get on an airplane, but more than 2,000 people on that list have been able to buy a gun. a speech.",0,liar,"guns,terrorism",23
74 percent of Republicans support the Affordable Care Act. a roundtable discussion on CNNs State of the Union,0,liar,"health-care,polls",18
Says Alex Sink failed Florida homeowners by using predatory lending practices. a YouTube video,0,liar,corporations,14
